geo_id,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,median_income
53015000702,3089,2495,1,48,270,68,56587
41011000504,5929,4811,53,31,442,149,34577
06037540203,5867,50,546,32,5186,42,45167
20173001900,2114,1436,188,39,243,47,39643
36005016200,1966,856,62,10,978,43,81908
19153000201,2905,2277,144,95,249,91,57604
13001950200,4301,2245,1780,0,209,61,36552
35001004734,7548,203,26,53,6955,142,37640
26107960100,2332,2177,26,8,22,37,41357
20177000700,2770,2162,157,26,248,62,42649
39113002500,4765,3827,379,0,398,29,41385
27095970100,2008,1742,4,2,48,158,41971
23003952300,2456,2288,25,4,19,53,41833
40143001500,3713,1758,387,32,805,178,34336
24510250402,4451,1471,1968,0,631,67,50526
53065951100,3759,3356,25,5,193,41,38718
53063000400,3753,2886,77,62,314,63,35526
40013795900,1617,1228,56,0,21,218,39853
26035001300,3835,3549,67,42,94,29,28345
40109108309,2715,570,1675,0,257,31,31250
37171930400,2721,2094,461,0,55,61,25719
39039958900,4825,4108,78,0,513,70,64276
04019004115,7031,1328,207,30,5375,72,30240
45025950200,4708,3328,994,19,53,113,37262
13275960300,2247,1560,538,0,83,51,40739
04021000315,4644,3720,23,122,653,101,41972
18141000301,2331,1654,254,72,212,70,45577
41019020000,3355,3048,0,8,90,47,39400
06101050201,3289,1485,94,244,1204,30,41162
48055960101,7238,2184,43,0,4765,92,51472
27053106000,3063,483,1722,98,451,249,18225
41025960200,1986,1692,22,0,160,28,60714
37081014503,3600,529,2131,268,551,53,27619
40063484600,2708,1553,61,0,92,885,35667
49053271300,3979,2836,178,36,812,29,41053
40153953400,3371,2691,2,0,474,40,51433
18095001400,3601,3020,326,0,147,27,37125
37119004000,5062,858,3669,46,395,32,37434
22003950400,4209,3008,737,6,42,117,48915
42081000600,2396,2061,82,0,12,44,39625
38079951600,1472,683,26,0,0,685,57000
01071950200,3219,2712,207,0,160,62,30071
04013115900,6574,753,814,25,4640,79,46707
24017850300,2010,1041,632,25,105,38,74236
40143006507,1729,1275,79,6,120,80,63681
02122000300,1194,1027,0,4,53,45,74655
45083021700,4400,1394,2090,3,761,45,25860
50021964300,1287,1198,27,0,24,32,51641
26047970100,2172,1888,70,7,42,79,42257
34031180900,3922,65,1138,0,2527,29,39517
04013421902,6397,1093,110,64,4908,212,31625
06047000601,4820,1375,156,77,3056,27,41250
40031001100,1710,989,231,7,336,44,50588
40047000200,2705,2195,98,9,121,77,59762
12013010200,4020,3585,82,0,202,55,37537
06037407802,3596,192,38,470,2802,40,83413
37051001000,2776,470,2021,39,131,37,27448
30009000500,1556,1464,0,5,9,44,53750
40119011200,2256,1886,0,62,72,120,39120
37081011102,2623,0,2454,0,0,111,36546
40041376000,5066,2326,28,96,346,1515,34753
20173007000,4156,1815,1053,205,901,40,31875
45015020712,3841,3279,89,39,189,42,46667
42101028400,4104,47,3395,99,378,53,27431
40131050103,2342,1502,25,0,181,393,44954
48147950300,3141,2820,19,28,124,47,53826
26025003100,2985,2733,15,0,112,27,48125
06047002100,4741,1091,25,124,3202,106,53058
06089012604,2141,1787,10,1,157,141,54421
16039960100,2910,2095,5,0,708,80,37474
04013115700,6994,514,335,0,6072,44,37159
40109102400,2877,653,151,142,1724,125,35840
49035102100,1781,1234,277,26,176,34,36042
53053073119,2992,2731,16,10,55,47,85455
55115100700,3150,2931,4,2,114,62,48659
24033801500,2632,45,1879,18,630,27,79750
12103024803,2536,1565,281,311,321,40,39896
29099700210,3364,2990,36,0,247,38,41693
